MSE: 0.15651147067546844	RMSE: 0.24657200276851654	PSNR: 26.140525817871094	SSIM: 0.9107410311698914	SAM: 0.15558159351348877
MSE: 0.13880079984664917	RMSE: 0.2199711948633194	PSNR: 27.132083892822266	SSIM: 0.9278555512428284	SAM: 0.14185021817684174
MSE: 0.13599063456058502	RMSE: 0.2014630138874054	PSNR: 27.895492553710938	SSIM: 0.9399129152297974	SAM: 0.14444118738174438
MSE: 0.12582507729530334	RMSE: 0.18388229608535767	PSNR: 28.688600540161133	SSIM: 0.9476207494735718	SAM: 0.13360553979873657
MSE: 0.11938302218914032	RMSE: 0.17537309229373932	PSNR: 29.100139617919922	SSIM: 0.9327505230903625	SAM: 0.14440935850143433
MSE: 0.12772341072559357	RMSE: 0.18723253905773163	PSNR: 28.53177261352539	    SSIM: 0.9008289575576782	SAM: 0.158828467130661
MSE: 0.13334989547729492	RMSE: 0.20552025735378265	PSNR: 27.722309112548828	SSIM: 0.8675625324249268	SAM: 0.15843072533607483
MSE: 0.1419985145330429	    RMSE: 0.22051891684532166	PSNR: 27.110483169555664	SSIM: 0.8477977514266968	SAM: 0.16654559969902039
MSE: 0.13099510967731476	RMSE: 0.20366372168064117	PSNR: 27.801124572753906	SSIM: 0.8624365925788879	SAM: 0.15753978490829468
MSE: 0.12376657128334045	RMSE: 0.19636963307857513	PSNR: 28.1179141998291	    SSIM: 0.8816313147544861	SAM: 0.14828434586524963
MSE: 0.13047906756401062	RMSE: 0.21326296031475067	PSNR: 27.40108871459961	    SSIM: 0.8946014642715454	SAM: 0.13460949063301086
MSE: 0.13292783498764038	RMSE: 0.2149864286184311	PSNR: 27.331178665161133	SSIM: 0.9084885120391846	SAM: 0.12261010706424713
MSE: 0.12724223732948303	RMSE: 0.19837099313735962	PSNR: 28.029834747314453	SSIM: 0.9043157696723938	SAM: 0.13990041613578796
MSE: 0.143965482711792	    RMSE: 0.21798302233219147	PSNR: 27.21094512939453	    SSIM: 0.9019829034805298	SAM: 0.1572319120168686
MSE: 0.15949544310569763	RMSE: 0.23213553428649902	PSNR: 26.664566040039062	SSIM: 0.9169118404388428	SAM: 0.16605818271636963

