epoch[18](6000/6512): loss: 0.21770903	MAE: 0.236	PSNR: 24.419	SSIM: 0.963	SAM: 1.648
epoch[19](2000/6512): loss: 0.04157270	MAE: 0.160	PSNR: 25.193	SSIM: 0.683	SAM: 13.899
epoch[19](4000/6512): loss: 0.04140189	MAE: 0.046	PSNR: 37.777	SSIM: 0.989	SAM: 2.364
epoch[19](6000/6512): loss: 0.02765400	MAE: 0.032	PSNR: 40.679	SSIM: 0.987	SAM: 1.634
epoch[20](2000/6512): loss: 0.20270504	MAE: 0.119	PSNR: 29.879	SSIM: 0.986	SAM: 1.361
epoch[20](4000/6512): loss: 0.13475613	MAE: 0.067	PSNR: 35.264	SSIM: 0.995	SAM: 1.468
epoch[20](6000/6512): loss: 0.23367366	MAE: 0.117	PSNR: 27.222	SSIM: 0.803	SAM: 8.759
epoch[21](2000/6512): loss: 0.03529953	MAE: 0.047	PSNR: 34.654	SSIM: 0.934	SAM: 3.515
epoch[21](4000/6512): loss: 0.11691536	MAE: 0.060	PSNR: 35.394	SSIM: 0.993	SAM: 1.200
epoch[21](6000/6512): loss: 0.06299125	MAE: 0.055	PSNR: 34.955	SSIM: 0.972	SAM: 3.487
epoch[22](2000/6512): loss: 0.06603810	MAE: 0.067	PSNR: 34.963	SSIM: 0.965	SAM: 2.549
epoch[22](4000/6512): loss: 0.05318561	MAE: 0.061	PSNR: 33.972	SSIM: 0.960	SAM: 3.806
epoch[22](6000/6512): loss: 0.07679199	MAE: 0.065	PSNR: 34.966	SSIM: 0.963	SAM: 2.395
epoch[23](2000/6512): loss: 0.03614328	MAE: 0.058	PSNR: 35.466	SSIM: 0.983	SAM: 3.517
epoch[23](4000/6512): loss: 0.18369274	MAE: 0.096	PSNR: 30.169	SSIM: 0.931	SAM: 5.635
epoch[23](6000/6512): loss: 0.24648726	MAE: 0.192	PSNR: 24.548	SSIM: 0.831	SAM: 8.987
epoch[24](2000/6512): loss: 0.33623534	MAE: 0.203	PSNR: 24.802	SSIM: 0.864	SAM: 10.482
